Port,Service,Status,Risk Level
1,TCPMUX,CLOSED,UNKNOWN
2,Unknown Service,CLOSED,UNKNOWN
3,Unknown Service,CLOSED,UNKNOWN
4,Unknown Service,CLOSED,UNKNOWN
5,RJE,CLOSED,UNKNOWN
6,Unknown Service,CLOSED,UNKNOWN
7,ECHO,CLOSED,UNKNOWN
8,Unknown Service,CLOSED,UNKNOWN
9,DISCARD,CLOSED,UNKNOWN
10,Unknown Service,CLOSED,UNKNOWN
11,SYSTAT,CLOSED,UNKNOWN
12,Unknown Service,CLOSED,UNKNOWN
13,DAYTIME,CLOSED,UNKNOWN
14,Unknown Service,CLOSED,UNKNOWN
15,Unknown Service,CLOSED,UNKNOWN
16,Unknown Service,CLOSED,UNKNOWN
17,QOTD,CLOSED,UNKNOWN
18,MSP,CLOSED,UNKNOWN
19,CHARGEN,CLOSED,UNKNOWN
20,FTP Data,CLOSED,UNKNOWN
21,FTP,CLOSED,HIGH
22,SSH,CLOSED,MEDIUM
23,Telnet,CLOSED,HIGH
24,Unknown Service,CLOSED,UNKNOWN
25,SMTP,CLOSED,MEDIUM
26,Unknown Service,CLOSED,UNKNOWN
27,Unknown Service,CLOSED,UNKNOWN
28,Unknown Service,CLOSED,UNKNOWN
29,Unknown Service,CLOSED,UNKNOWN
30,Unknown Service,CLOSED,UNKNOWN
31,Unknown Service,CLOSED,UNKNOWN
32,Unknown Service,CLOSED,UNKNOWN
33,Unknown Service,CLOSED,UNKNOWN
34,Unknown Service,CLOSED,UNKNOWN
35,Unknown Service,CLOSED,UNKNOWN
36,Unknown Service,CLOSED,UNKNOWN
37,TIME,CLOSED,UNKNOWN
38,Unknown Service,CLOSED,UNKNOWN
39,Unknown Service,CLOSED,UNKNOWN
40,Unknown Service,CLOSED,UNKNOWN
41,Unknown Service,CLOSED,UNKNOWN
42,WINS,CLOSED,UNKNOWN
43,WHOIS,CLOSED,UNKNOWN
44,Unknown Service,CLOSED,UNKNOWN
45,Unknown Service,CLOSED,UNKNOWN
46,Unknown Service,CLOSED,UNKNOWN
47,Unknown Service,CLOSED,UNKNOWN
48,Unknown Service,CLOSED,UNKNOWN
49,TACACS,CLOSED,UNKNOWN
50,Unknown Service,CLOSED,UNKNOWN
